State,Senator,url_link_final
Oklahoma,James Lankford,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/James_Lankford_official_portrait_115th_congress_%28cropped%29.jpg/571px-James_Lankford_official_portrait_115th_congress_%28cropped%29.jpg
Oregon,Ron Wyden,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Ron_Wyden_official_photo_%28cropped%29.jpg/457px-Ron_Wyden_official_photo_%28cropped%29.jpg
Oregon,Jeff Merkley,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Jeff_Merkley%2C_115th_official_photo_%28cropped%29.jpg/565px-Jeff_Merkley%2C_115th_official_photo_%28cropped%29.jpg
Pennsylvania,Robert Casey,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Bob_Casey_Jr._official_photo_%28cropped%29.jpg/440px-Bob_Casey_Jr._official_photo_%28cropped%29.jpg
Pennsylvania,Patrick Toomey,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Pat_Toomey_official_photo_%28cropped%29.jpg/424px-Pat_Toomey_official_photo_%28cropped%29.jpg
Rhode Island,John Reed,https://upload.wikimedia.org/wikipedia/commons/1/14/Senator_Jack_Reed_official_photo_%28cropped%29.jpg
Rhode Island,Sheldon Whitehouse,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Sheldon_Whitehouse%2C_official_portrait%2C_116th_congress.jpg/614px-Sheldon_Whitehouse%2C_official_portrait%2C_116th_congress.jpg
South Carolina,Lindsey Graham,https://upload.wikimedia.org/wikipedia/commons/f/f1/Lindsey_Graham%2C_official_photo%2C_113th_Congress_%28cropped%29.jpg
South Carolina,Tim Scott,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Tim_Scott%2C_official_portrait%2C_113th_Congress_%28cropped_2%29.jpg/453px-Tim_Scott%2C_official_portrait%2C_113th_Congress_%28cropped_2%29.jpg
South Dakota,John Thune,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/John_Thune%2C_official_portrait%2C_111th_Congress_%28cropped%29.jpg/534px-John_Thune%2C_official_portrait%2C_111th_Congress_%28cropped%29.jpg
South Dakota,Mike Rounds,https://upload.wikimedia.org/wikipedia/commons/4/41/Mike_Rounds_official_Senate_portrait_%28cropped%29.jpg
